panel,cluster_id,label,n,diabetes_rate,diabetes_enrichment,hypertension_rate,hypertension_enrichment,mean_hba1c
cbc,0,hypercholesterolemia_pattern,979,0.1195097037793667,0.9953633803176247,0.37793667007150156,1.216970415631169,6.043865030674847
cbc,1,hypercholesterolemia,2421,0.09211069805865345,0.7671646141165192,0.2325485336637753,0.7488151007248968,5.510417527904093
cbc,2,dyslipidaemia,1237,0.11236863379143087,0.9358873768007978,0.3055780113177041,0.9839727893318657,5.69004854368932
cbc,3,pre_diabetes,1350,0.18,1.499170383586084,0.34,1.0948128987756511,5.767086730911787
cbc,4,metabolic_syndrome,2064,0.12596899224806202,1.0491610134915532,0.38808139534883723,1.2496368158904705,5.901841085271318
cbc,5,metabolic_syndrome,3014,0.18414067684140678,1.5336569396340718,0.3603185136031851,1.16023928341305,5.823986710963456
cbc,6,hypercholesterolemia,1011,0.036597428288822946,0.3048098922556605,0.27002967359050445,0.8695057932325383,5.580316518298715
cbc,7,hyperlipidemia_pattern,1535,0.13159609120521173,1.0960275696141475,0.35960912052117266,1.1579550107763161,5.830463144161775
cbc,8,dyslipidemia_profile,3436,0.10710128055878929,0.892017043654894,0.2488358556461001,0.8012608954094892,5.603931275480489
cbc,9,elevated_lipid_pattern,1626,0.06027060270602706,0.5019772365431059,0.28413284132841327,0.9149185283885948,5.5854769230769215
biochem,0,metabolic_syndrome,3578,0.17495807713806596,1.4571775978586556,0.37367244270542205,1.2032394417379455,5.849145897507702
biochem,1,hypercholesterolemia,1404,0.10327635327635327,0.8601602786482359,0.21082621082621084,0.6788683970956777,5.51096866096866
biochem,2,mild_metabolic_syndrome,1340,0.1417910447761194,1.1809385277004807,0.3962686567164179,1.276000108098926,6.003059701492537
biochem,3,dyslipidaemia_pattern,2146,0.08574091332712022,0.714112432898,0.2907735321528425,0.9363018047749662,5.630597014925373
biochem,4,dyslipidemia,2550,0.10941176470588235,0.9112604292386,0.3792156862745098,1.2210888963276292,5.871871322087093
biochem,5,postprandial_hyperglycemia,1198,0.17028380634390652,1.4182468848616265,0.3096828046744574,0.997190379666519,5.704933110367893
biochem,6,hypercholesterolemia_pattern,2226,0.09523809523809523,0.7932118431672401,0.1940700808625337,0.6249130229256926,5.476639712488769
biochem,7,pre_diabetes_pattern,1442,0.09778085991678225,0.8143898292712198,0.3106796116504854,1.000400135945769,5.739736477115119
biochem,8,hyperlipidemia_pattern,766,0.04699738903394256,0.39142829858644484,0.30548302872062666,0.9836669417658669,5.6356396866840734
biochem,9,elevated_ldl_pattern,2023,0.11122095897182402,0.9263287095811196,0.27632229362333166,0.8897682684649892,5.61558634339436
lipid,0,metabolic_syndrome_pattern,770,0.13636363636363635,1.1357351390803665,0.38181818181818183,1.2294690307106242,6.129388816644994
lipid,1,hypercholesterolemia_pattern,2793,0.10204081632653061,0.8498698319649002,0.24346580737558182,0.7839691362518089,5.557721246864923
lipid,2,elevated_lipidemia_with_anemia_pattern,1836,0.1328976034858388,1.1068675066418678,0.24019607843137256,0.7734404850058665,5.575258855585831
lipid,3,mildly_elevated_risk_cardiovascular_disease,2384,0.12080536912751678,1.0061546198564322,0.3859060402684564,1.2426320900039465,5.889848993288591
lipid,4,healthy_population,1221,0.12285012285012285,1.0231848099823122,0.2244062244062244,0.7225965560161112,5.551967213114754
lipid,5,hyperlipidemia_pattern,1732,0.09122401847575058,0.7597797042808612,0.2834872979214781,0.9128398541279118,5.611849710982659
lipid,6,mild_hyperglycemia,1131,0.1909814323607427,1.5906317067226352,0.33687002652519893,1.0847342654431869,5.751858407079646
lipid,7,hyperlipidemia_pattern,2588,0.054482225656877895,0.45376743964802896,0.2882534775888717,0.92818713347422,5.605450328565906
lipid,8,pre_dyslipidaemia_pattern,1478,0.10013531799729364,0.8339994616250955,0.33220568335588635,1.0697149034841293,5.7691734417344165
lipid,9,metabolic_syndrome,2740,0.18503649635036495,1.5411179733944536,0.3945255474452555,1.2703872301164436,5.90785531603946
